"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"UML-based combat effectiveness simulation system modeling within MDE","Z. Zhi; L. Yonglin; S. Hessam; L. Xiaobo; Z. Yifan","Department of Military Modeling and Simulation, School of Systems Engineering, National University of Defense Technology, Changsha 410073, China; Arizona Center for Integrated Modeling and Simulation, School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe 85281, USA; Department of Military Modeling and Simulation, School of Systems Engineering, National University of Defense Technology, Changsha 410073, China; Arizona Center for Integrated Modeling and Simulation, School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe 85281, USA; Arizona Center for Integrated Modeling and Simulation, School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe 85281, USA; Department of Military Modeling and Simulation, School of Systems Engineering, National University of Defense Technology, Changsha 410073, China; Department of Military Modeling and Simulation, School of Systems Engineering, National University of Defense Technology, Changsha 410073, China","Journal of Systems Engineering and Electronics","3 Jan 2019","2018","29","6","1180","1196","To reduce complexity, the combat effectiveness simulation system (CESS) is often decomposed into static structure, physical behavior, and cognitive behavior, and model abstraction is layered onto domain invariant knowledge (DIK) and application variant knowledge (AVK) levels. This study concentrates on the specification of CESS's physical behaviors at the DIK level of abstraction, and proposes a model driven framework for efficiently developing simulation models within model-driven engineering (MDE). Technically, this framework integrates the four-layer meta-modeling architecture and a set of model transformation techniques with the objective of reducing model heterogeneity and enhancing model continuity. As a proof of concept, a torpedo example is illustrated to explain how physical models are developed following the proposed framework. Finally, a combat scenario is constructed to demonstrate the availability, and a further verification is shown by a reasonable agreement between simulation results and field observations.","1004-4132","","10.21629/JSEE.2018.06.07","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8599101","domain specific modeling;model-driven development;system engineering;effectiveness simulation","Unified modeling language;Computational modeling;Mathematical model;Semantics;Context modeling;Syntactics","military computing;software architecture;Unified Modeling Language","UML-based combat effectiveness simulation system modeling;MDE;static structure;physical behavior;cognitive behavior;model abstraction;CESS's physical behaviors;model driven framework;simulation models;model-driven engineering;four-layer meta-modeling architecture;model transformation techniques;model heterogeneity;physical models;combat scenario;model continuity enhancement;domain invariant knowledge;DIK;application variant knowledge levels;AVK levels","","","","","","3 Jan 2019","","","BIAI","BIAI Journals"
"A taxonomy of model abstraction techniques","F. K. Frantz","Computer Sci. Corp., Syracuse, NY, USA","Winter Simulation Conference Proceedings, 1995.","6 Aug 2002","1995","","","1413","1420","Model abstraction is a method for reducing the complexity of a simulation model while maintaining the validity of the simulation results with respect to the question that the simulation is being used to address. Model developers have traditionally used a number of abstraction techniques, and simulation researchers have conducted formal research to build a theoretical foundation for model manipulation. More recently, researchers in the artificial intelligence (AI) subfield of qualitative simulation have also been developing techniques for simplifying models, determining whether models results are valid, and developing tools for automatic model selection and manipulation. Metamodeling can also be considered as an abstraction technique. The purpose of the paper is to provide a taxonomy of abstraction techniques drawn from these fields. This taxonomy provides a framework for comparing and contrasting various abstraction techniques.","","0-78033018-8","10.1109/WSC.1995.479055","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=479055","","Taxonomy;Computational modeling;Artificial intelligence;Postal services;Metamodeling;Computer interfaces;Computer aided instruction;Computer simulation","modelling;simulation;common-sense reasoning","model abstraction technique taxonomy;simulation model complexity reduction;simulation result validity;model developers;artificial intelligence;qualitative simulation;model simplification;automatic model selection tools;automatic model manipulation tools;metamodeling","","12","","19","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Verification, validation, and accreditation (VV&A) of models and simulations through reduced order metamodels","D. Caughlin","Mission Res. Corp., Colorado Springs, CO, USA","Winter Simulation Conference Proceedings, 1995.","6 Aug 2002","1995","","","1405","1412","The paper provides a new approach to support verification, validation, and accreditation (VV&A) of models and simulations. The need for efficient and objective methods to verify, validate and accredit models and simulations is greater than ever. More and more decisions are based on computer generated data that are derived from models and simulations. The strength of these decisions is a direct function of the validity of this data. Based on the system identification of reduced order models, this new approach approximates a complex high-dimensional model or simulation by a relatively simple mathematical model valid over a specified domain and range of interest. Verification or validation is then accomplished by the straightforward comparison of the reduced order model structure and coefficients with the baseline data or system. Well-developed identification methods and a structured procedure make this process more efficient and objective than existing methods.","","0-78033018-8","10.1109/WSC.1995.479054","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=479054","","Accreditation;Computational modeling;Mathematical model;Springs;Computer simulation;Reduced order systems;Design methodology;Analytical models;Technological innovation;Metamodeling","identification;identification;digital simulation;simulation;modelling;decision support systems;decision support systems;decision theory;decision theory;formal verification;formal verification;certification;certification","accreditation;validation;verification;reduced order metamodels;models;simulations;decisions;computer generated data;data validity;system identification;reduced order models;complex high-dimensional model;complex high-dimensional simulation;mathematical model;baseline data;baseline system;reduced order model structure;reduced order model coefficients;structured procedure","","1","","12","","6 Aug 2002","","","IEEE","IEEE Conferences"
"Model Reduction of A Real Time Multidisciplinary Mechatronic System","Q. Li; H. H. Zhang","School of Engineering Technology, Purdue University, West Lafayette, IN, USA; School of Engineering Technology, Purdue University, West Lafayette, IN, USA","2019 20th International Conference on Research and Education in Mechatronics (REM)","24 Jun 2019","2019","","","1","5","Mechatronics is the synergistic integration of the techniques from mechanical engineering, electrical engineering and information technology, which influences each other mutually. The mechatronic systems are always composed of a number of subsystems with various controllers, and they are large scale systems. The models of large scale systems are always resulted in complex form and high in dimension, making the computation for modeling, simulation and control design become very complicated, or even beyond the solutions provided by conventional engineering methods. Therefore, a simplified model obtained by using model order reduction technique, which can preserve the dominant physical parameters and reveal the performance limiting factor, is preferred. This paper employs a two-wheeled self-balancing scooter as the subject of the study in research on large scale mechatronic system. Efforts have been put on developing a completed mathematical modeling method based on a unified framework from variational method for both mechanical subsystem and electrical subsystem in the scooter. In order to decrease the computation efforts in simulation and control design, Routh model reduction technique was chosen from various model reduction techniques so as to obtain a low dimensional model. Matlab simulation is used to predict the system response based on the simplified model and related control design. Its performance is verified in test runs on the experimental prototype realized with Labview control system.","","978-1-5386-9257-8","10.1109/REM.2019.8744102","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=8744102","component;Mechatronics;model reduction technique;variational method","Mathematical model;Motorcycles;Computational modeling;Mechatronics;Reduced order systems;Control design;Integrated circuit modeling","control system synthesis;large-scale systems;mathematical analysis;mechatronics;motorcycles;prototypes;reduced order systems;virtual instrumentation;wheels","Routh model reduction technique;matlab simulation;mechanical engineering;electrical engineering;information technology;model order reduction technique;performance limiting factor;variational method;control design;two-wheeled self-balancing scooter;mathematical modeling method;labview control system;real time multidisciplinary mechatronic system;experimental prototype;large scale systems","","","","6","","24 Jun 2019","","","IEEE","IEEE Conferences"
"Towards a tool independent standard simulation library — A pragmatic approach to model exchange and simplification","M. Lasa; H. -. Heinkel; R. Neul; R. Rothfuß","Robert Bosch GmbH, Dept. FV/FLI P.O. Box 10 60 50, D-7 00 49 Stuttgart, Germany; Robert Bosch GmbH, Dept. FV/FLI P.O. Box 10 60 50, D-7 00 49 Stuttgart, Germany; Robert Bosch GmbH, Dept. FV/FLI P.O. Box 10 60 50, D-7 00 49 Stuttgart, Germany; Robert Bosch GmbH, Dept. FV/FLI P.O. Box 10 60 50, D-7 00 49 Stuttgart, Germany","1999 European Control Conference (ECC)","4 May 2015","1999","","","2701","2706","Complex mechatronic systems, e. g. Common Rail or ABS systems, consist of a large number of components from different physical domains. The interaction of these components is essential for the function and behavior of the overall system. During the early stages of the development process simulation models are strongly required for the verification of alternative designs and parametrizations. Furthermore, these models are necessary for the understanding of the overall system. Due to the complexity of the technical system, each component can be described by different models on different levels of abstraction. Since components mostly consist of parts from different physical domains (e. g. injection valve consists of power stage, solenoid, nozzle needle), a large variety of domain specific simulation tools are used. Using different simulation tools during the product development is efficient only if model exchange between the tools is supported. However, model exchange between different tools is difficult due to tool specific model description languages, capabilities of the numerical solvers, etc. In this paper, a pragmatic approach to overcome the above mentioned problems is presented. A systematic description of the design process is presented. Starting from this process, the concept of a tool independent standard simulation library is derived. This library currently supports the model exchange between the simulation tools AMESIM, ASCET, SABER and SIMULINK as well as the modeling language vhdl-ams. The usefulness of the concept is illustrated at components of a Common Rail injection system.","","978-3-9524173-5-5","10.23919/ECC.1999.7099734","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7099734","Simulation of mechatronic systems;model exchange;VHDL-AMS;Common Rail","Mathematical model;Standards;Numerical models;Libraries;Rails;Mechatronics;Integrated circuit modeling","digital simulation;mechanical engineering computing;mechatronics;specification languages","tool independent standard simulation library;pragmatic approach;model exchange;model simplification;mechatronic system;abstraction level;domain specific simulation tool;AMESIM tool;ASCET tool;SABER tool;Simulink tool;VHDL-AMS modeling language;common rail injection system","","","","8","","4 May 2015","","","IEEE","IEEE Conferences"
"Simulation Reduction Models Approach Using Neural Network","P. Thomas; D. Choffel; A. Thomas",NA; NA; NA,"Tenth International Conference on Computer Modeling and Simulation (uksim 2008)","15 Apr 2008","2008","","","679","684","Simulation is often used for the evaluation of a Master Production Schedule (MPS). Also, the goal of this paper is the study of the design of a simulation model by reducing its complexity. According to theory of constraints, we want to build reduced models composed exclusively by bottleneck and, in order to do that, a neural network, particularly a multilayer perceptron, is used. Moreover, the structure of the network is determined by using a pruning procedure. This approach is applied to a sawmill flow shop case.","","978-0-7695-3114-4","10.1109/UKSIM.2008.73","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=4489014","multilayer perceptron;reduced model;simulation;neural network;re-scheduling","Neural networks;Job shop scheduling;Capacity planning;Optical wavelength conversion;Computational modeling;Computer simulation;Constraint theory;Manufacturing;Multilayer perceptrons;Supply chains","","","","2","","29","","15 Apr 2008","","","IEEE","IEEE Conferences"
"Model Framework of Emergency Evacuation System Based on Multi-Paradigm Modeling","G. Haoxiang; H. Yuling; L. Jingwan","Beijing University of Civil Engineering and Architecture,Beijing,China,100044; Beijing University of Civil Engineering and Architecture,Beijing,China,100044; Beijing University of Civil Engineering and Architecture,Beijing,China,100044","2020 Chinese Control And Decision Conference (CCDC)","11 Aug 2020","2020","","","2565","2570","Because complex systems contain multiple hybrid and interactive subsystems, it poses a huge challenge to simulation modeling. Simulation research based on multi-paradigm modeling has become an important method for the study of complex systems. Emergency evacuation system is a typical complex system, which has complex interaction among evacuation individual, emergency environment and emergency subsystem. In order to solve the problem of reusability, interoperability and configurability of evacuation system simulation models and improve the efficiency of model utilization, this paper proposes a multi-paradigm modeling framework for emergency evacuation research. A meta-model method based on three paradigms of agent, system dynamics and discrete events is proposed for constructing evacuation individuals, emergency environments and emergency events respectively. It gives a new idea for constructing evacuation simulation system models.","1948-9447","978-1-7281-5855-6","10.1109/CCDC49329.2020.9164688","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=9164688","Complex system;Evacuate;Multi-paradigm modeling;meta-model","Object oriented modeling;System dynamics;Fires;Buildings;Complex systems;Tools;Emergency services","emergency management;simulation","simulation modeling;emergency evacuation system;evacuation individual;emergency subsystem;evacuation system simulation models;multiparadigm modeling framework;emergency evacuation research;meta-model method;system dynamics;emergency events;evacuation simulation system models","","","","23","","11 Aug 2020","","","IEEE","IEEE Conferences"
"Deriving Software Process Simulation Model from SPEM-based Software Process Model","S. Park; K. Choi; K. Yoon; D. Bae","KAIST, Daejeon; KAIST, Daejeon; KAIST, Daejeon; KAIST, Daejeon","14th Asia-Pacific Software Engineering Conference (APSEC'07)","7 Jan 2008","2007","","","382","389","It is difficult to adopt a simulation technology for simulating a software process because of the difficulty in developing a simulation model. In order to resolve the difficulty, we consider the following issues: reducing the cost to develop a simulation model, reducing the simulation model complexity, and increasing the modularity of a simulation model. We propose an approach to deriving a discrete event system specification (DEVS)-Hybrid simulation model from a software process engineering meta-model (SPEM)-based software process model. We provide the mapping between the elements of SPEM and the DEVS-Hybrid formalism and the transformation rules for automatically deriving a simulation model from a descriptive process model. Our approach resolves the issues by the transformation rules and the hierarchical and modularized modeling properties of UML and DEVS.","1530-1362","0-7695-3057-5","10.1109/ASPEC.2007.28","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=4425878","","Computational modeling;Costs;Unified modeling language;Computer simulation;Discrete event systems;Equations;Modular construction;Software engineering;Computer science;Discrete event simulation","discrete event simulation;formal specification","software process simulation model;simulation model complexity;simulation model modularity;discrete event system specification;software process engineering meta-model","","2","","16","","7 Jan 2008","","","IEEE","IEEE Conferences"
"Enhancing Model Order Reduction for Nonlinear Analog Circuit Simulation","H. Aridhi; M. H. Zaki; S. Tahar","Department of Electrical and Computer Engineering, Concordia University, Montréal, QC, Canada; Department of Electrical and Computer Engineering, Concordia University, Montréal, QC, Canada; Department of Electrical and Computer Engineering, Concordia University, Montréal, QC, Canada","IEEE Transactions on Very Large Scale Integration (VLSI) Systems","24 Feb 2016","2016","24","3","1036","1049","Traditionally, model order reduction methods have been used to reduce the computational complexity of mathematical models of dynamic systems, while preserving their functional characteristics. This technique can also be used to fasten analog circuit simulations without sacrificing their highly nonlinear behavior. In this paper, we present an iterative approach for reducing the computational complexity of nonlinear analog circuits using piecewise linear approximations, k-means clustering, and Krylov space projection techniques. We model primary circuit inputs, design initial conditions, and circuit parameters as fuzzy variables with different distributions in qualitative simulations. We then iteratively fine-tune the reduced models until a model is achieved that meets a predefined performance and accuracy conformance criteria. We demonstrate the effectiveness of our method using several key nonlinear circuits: 1) a transmission line; 2) a ring oscillator; 3) a voltage controlled oscillator; 4) a phase-locked loop; and 5) an analog comparator circuit. Our experiments show that the reduced model simulations are fast and accurate compared with the existing techniques.","1557-9999","","10.1109/TVLSI.2015.2421450","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7106518","Analog circuits;clustering;Krylov space;model order reduction (MOR);qualitative simulation (QS).;Analog circuits;clustering;Krylov space;model order reduction (MOR);qualitative simulation (QS)","Mathematical model;Integrated circuit modeling;Computational modeling;Analog circuits;Trajectory;Accuracy;Analytical models","analogue integrated circuits;comparators (circuits);nonlinear network analysis;phase locked loops;piecewise linear techniques;reduced order systems;voltage-controlled oscillators","nonlinear analog circuit simulation;model order reduction;computational complexity;mathematical models;dynamic systems;functional characteristics;analog circuit simulations;iterative approach;piecewise linear approximations;k-means clustering;Krylov space projection;primary circuit inputs;design initial conditions;circuit parameters;fuzzy variables;predefined performance;accuracy conformance criteria;several key nonlinear circuits;transmission line;ring oscillator;voltage controlled oscillator;phase locked loop;analog comparator circuit","","2","","32","","13 May 2015","","","IEEE","IEEE Journals"
"Sparsity-aware model reduction for post-layout circuit simulation","Z. Ye","Institute of Microelectronics, Tsinghua University, China","2014 IEEE International Conference on Electron Devices and Solid-State Circuits","16 Mar 2015","2014","","","1","2","Post-layout simulation becomes more and more challenging due to ever increasing parasitics. Reducing the order of systems does not necessarily result in improvement in simulation time. What really affects the simulation time is the network complexity, which is determined by both the size and density of the network. Only reducing the size may worsen the density and in turn the complexity of the “reduced” system may be even higher compared with the original systems. We thus proposed a model complexity reduction which comprises sparsity-aware model reduction followed by model sparsification. Experiments show that for realistic post-layout simulation problems, the proposed model complexity reduction provides 3X~5X speed-ups compared with simulation using the original circuits.","","978-1-4799-2334-2","10.1109/EDSSC.2014.7061232","","https://ieeexplore-ieee-org.libraryproxy.his.se/stamp/stamp.jsp?arnumber=7061232","model order reduction;post-layout circuits;sparsification;massive terminal","Complexity theory;Artificial neural networks;Accuracy;Voltage-controlled oscillators","circuit layout;circuit simulation","sparsity aware model reduction;post layout circuit simulation;model complexity reduction;model sparsification","","1","","9","","16 Mar 2015","","","IEEE","IEEE Conferences"
