"label","simplificationtype","simsoftware","studytype","systemtype","apparea","complexity","motivation","complexitymeasure","validationmeasure","efficacymeasure","additional_notes"
"Duarte2007115","Aggregation","Extend (Version 4.0)","Case","Supply Chain","Semiconductor Manufacturing","28 machines for the second experiment
1 variant","Faster and  simpler model to enable what-if for supply-chains","Operators
Machines
Batch sizes","CT (Leadtime) Mean, SD
THP Mean, SD","Runtime","Multiple experiments"
"Guo2020","Meta-model","Arena","Case","Emergency Department","Healthcare","Optimization","Reduce running time
Optimization","Running time
Optimization search space","Length of stay, Min
Proportions of each patient category
Time differences waiting time","Running time","Multi-fidelity
Low: ANN meta-model
High: Arena
Single objective optimization"
"Salama20181147","Meta-model","Arena","Case","Assembly","Manufacturing
(White Goods)","8 stations
Large DOE","Runtime
Black-box
","DOE","R2 score","Runtime","EXCLUDE E05
Not enough focus on simplifying DES models, only on speeding up the results.
Connection to IoT and CPS is good though
Meta-model, analytical"
"Johnson20052172","Omission","","Experiment","Wafer Fabrication","Semiconductor Manufacturing","10-100 Machines
10 Buffers","Runtime","Number Machines","Correlation of CT, mean, CI
","Runtime","Minimizing bias and variance
Fixed product mix"
"Huber20112872","Multiresolution","d3FACT insight","Experiment
Academic models","","","Model A 151 components, long, parallel
Model B 133 components, short, parallel
Model C 61 components, parallel","Runtime","Number of components","Relative Error % of  Throughput
Relative Error % of  Throughput and Allocation (WIP)","","Not stated which type of system, only ""original models"" are mentioned"
"Thomas2011767","Aggregation
Meta-model","Arena","Case","Sawmill","Production","3 lines, 20 steps","Runtime","","","","Only training and validation of NN was performed, no validation to the detailed  model"
"Mohammadi2020","Aggregation","AnyLogic","Experiment","Job shop","Manufacturing","6 machines","Runtime","Number of components","CT (Leadtime)","Runtime",""
"Ewen2017293","Substitution","AutoSched AP","Experiment","Supply chain","Semiconductor manufacturing","70 tool groups and 240 process steps","Runtime","Process steps","CT (Leadtime) min, max, median, mean, variability and correlation","Runtime",""
"McGraw2000326","Meta","","","","","","","","","","Not relevant
EXCLUDE E05"
"Etman20111790","Aggregation","Analytical","Experiment","Workstation (Wafer Fabrication)","Semiconductor Manufacturing","","","","Cycle time - throughput curves","","No simulation software stated
No mention of performance
Not explicitly stated complexity measure
Aggregated from arrival and departure times using EPT"
"Jansen2012","Aggregation","","Experiment","MRI","Healthcare","12 steps","Reduce complexity","","Effective process time, mean, squared coefficient of variation
Flow time - throughput curves","","Aggregation to a G/G/1 model"
"Khan2019149","Aggregation","","Case","","Manufacturing","13 workstations, 95 operations","Reduce effort required for model development,  data analysis, validation, and simulation","","","","Aggregation through product combination
Aggregation through process time distribution
Aggregation applied to conceptual model!"
"Laipple20193603","Aggregation","","Case","Supply Chain","Semiconductor Manufacturing","","Complexity limits applicability","","","","Lacks implementation and results
No information on simulation software
No validation"
"Pehrsson20163632","Aggregation","FACTS Analyzer, Siemens Plant Simulation","Case
Optimization","Production","Manufacturing","A Number of production lines
Hundreds of machines","Runtime, enable optimization
Less time to collect data
Simpler","Number of machines","Finish time
Lead time
Throughput, mean
WIP
Lead time, mean","","No mention of efficacy, no comparisons between models"
"Henriksen1989648","","","","","","","","","","","Not relevant, tutorial
EXCLUDE E02"
"Popovics2016257","","","","","","","","","","","Calculating simulation model complexity in Plant Simulation
Not handling simplification
EXCLUDE E05"
"Li2018304","Meta-model","Plant Simulation (eM-Plant)","Case","Machining, engine cylinder block","Manufacturing","12 components, parallel","Reduce runtime","","MAPE, RMSE, R2","Runtime",""
"Frantz199714","","","","","","","","","","","No full-text
EXCLUDE E04"
"Ward1989141","","","","","","","","","","","No full-text
EXCLUDE E04"
"Snchez20062","","","","","","","","","","","Not relevant
No simplfication methods applied
EXCLUDE E05"
"Sevinc1990125","","","","","","","","","","","No full-text
EXCLUDE E04"
"Thomas2014530","Meta-model","","Case","Sawmill","Production","Same as Thomas2011","Complexity reduction by use of meta-model","Same as Thomas2011","RMSE between tree model and ANN","","TOC, remove by omission and keep bottleneck. Model the rest with a meta-model, regressiontree. Same model as Thomas2011"
"Bergmann2010545","","","","","","","","","","","Relevance?
Not specifically referring to simplification techniques of existing models, rather generating them based on MES data.
EXCLUDE E05"
"Brooks19961","","","","","","","","","","","Not relevant
Literature review, not examples
EXCLUDE E05"
"Parnianifard202089","","","","","","","","","","","Not relevant
Not discrete event, but important for meta-models
EXCLUDE E05"
"Ycesan199894","","","","","","","","","","","Not relevant
Discussion of complexity, not specific simplifications
EXCLUDE E05"
"Ahmed2016213","","","","","","","","","","","Not relevant
Interview study on what simulation modellers mean  by size  and complexity
EXCLUDE E02"
"Robinson2006792","","","","","","","","","","","Not relevant
Conceptual modeling, not on coded
EXCLUDE E05"
"vanderZee2010473","","","","","","","","","","","No full-text
EXCLUDE E04"
"Robinson2008278","","","","","","","","","","","Conceptual modeling, not on coded
EXCLUDE E05"
"Robinson2008291","","","","","","","","","","","Conceptual modeling, not on coded
EXCLUDE E05"
"Kotiadis2008951","","","","","","","","","","","Conceptual modeling, not on coded
EXCLUDE E05"
"Wallace1987597","","","","","","","","","","","Complexity discussion, not simplifications
EXCLUDE E05"
"Huber2009839","Aggregation
Omission","d3FACT insight","Experiment
Academic models","","","Model A, B and C. Model A is a big model with
151 components, containing medium long lines and many parallel lines and five assembly machines. Model B has 133 components, including six assembly machines, quite short lines and some parallel lines. Model C has 61 components and contains only three lines and two parallel lines.","Complexity Reduction, Runtime","Number of components and links in the model, custom metric","WIP, CT, Throughput","Runtime
Complexity
Bottlenecks identified in detailed and simplified",""
"Lipponen2018B305","","","","","","","","","","","No full-text
EXCLUDE E04"
"Jain1999888","Aggregation, replace non-bottlenecks with delays","Custom","Experiment","Supply chain","Semiconductor Manufacturing","","Compare detailed and aggregated models","Number of components","Service level
Inventory, mean and sd
Cycle time (Leadtime), mean and sd","","Not recommended to use aggregated due to the difference in results
Only mentions of runtime reductions with parallel evaluations"
"X.ISI.000495451900012","","","","","","","","","","","No full-text
EXCLUDE E04"
"Kleijnen20183","","","","","","","","","","","No full-text
EXCLUDE E04"
"Hood1990103","Toggling different settings on and off, rework, operators, machine failures","","Experiment","","Semiconductor manufacturing",""," Input data and cost for creating the model","","","","Only two references, which are self references, fails quality
EXCLUDE E05"
"Webster1984215","","","","","","","","","","","No full-text
EXCLUDE E04"
"Jain20011129","","Arena","Case","Supply chain","Logistics","","","","","","Not simplified model of already existing line
EXCLUDE E05"
"Chwif2006930","","","","","","","","","","","Simplifying conceptual model
EXCLUDE E05"
"Fowler2015661","","","","","","","","","","","Tutorial on model development, not relevant
EXCLUDE E02"
"Bergmann201738","","","","","","","","","","","Automatic model generation, not relevant
EXCLUDE E05"
"Shen2018943","Meta-model","","","","","","","","","","Not for discrete-event simulation, otherwise interesting
EXCLUDE E05"
"Law1993916","","","","","","","","","","","Panel discussion
EXCLUDE E02"
"Fowler2004469","","","","","","","","","","","Literature review and research gap analysis, not relevant but interesting
EXCLUDE E02"
"Huang2016283","","","","","","","","","","","Automatic model generation, not relevant
EXCLUDE E05"
"Fripp198519","","","","","","","","","","","No full-text
EXCLUDE E04"
"Rose20071708","Aggregation","","","Wafer fabrication","Semiconductor Manufacturing","","Runtime","","Cycle time distribution prediction","","Only self references?
Would need to be analyzed with Rose2007"
"X.ISI.000534786300010","Meta-model","","","","Healthcare","","Runtime and Optimization","","","","Tutorial or introduction to meta-models, no cases and not specifically DES
EXCLUDE E02"
"Shannon19987","","","","","","","","","","","Not specifically simplification of existing models, tutorial
EXCLUDE E05"
